genome_id,#ID,DGRcomp
3300023211_11,3300023211.a:Ga0255842_1583140,TR
3300020698_5,3300020698.a:Ga0214241_1000446,TR
3300020394_9,3300020394.a:Ga0211497_10003208,TR
3300020387_3,3300020387.a:Ga0211590_10000132,TR
3300017434_8,3300017434.a:Ga0185313_10000370,TR
3300015370_20,3300015370.a:Ga0180009_10040752,TR
3300014938_8,3300014938.a:Ga0134444_100169,TR
3300014792_12,3300014792.a:Ga0134427_1000023,TR
3300014548_6,3300014548.a:Ga0134459_100022,TR
3300013138_188,3300013138.a:Ga0172371_10049752,TR
3300010278_17,3300010278.a:Ga0129311_1003661,TR
3300009773_6,3300009773.a:Ga0123333_10003185,TR
3300009770_6,3300009770.a:Ga0123332_1002847,TR
3300008497_4,3300008497.a:Ga0111011_100081,TR
3300007524_25,3300007524.a:Ga0105481_1000084,TR
3300001598_55,3300001598.a:EMG_10028914,TR
3300029876_30,3300029876.a:Ga0245325_106910,TR
3300029714_18,3300029714.a:Ga0245242_1000166,TR
3300029703_30,3300029703.a:Ga0245234_104540,TR
3300029660_8,3300029660.a:Ga0242817_100005,TR
3300029595_13,3300029595.a:Ga0245140_100025,TR
3300029582_8,3300029582.a:Ga0245118_100081,TR
3300029564_15,3300029564.a:Ga0244919_100004,TR
3300029403_9,3300029403.a:Ga0243191_100356,TR
3300029392_11,3300029392.a:Ga0243989_1000002,TR
3300029391_12,3300029391.a:Ga0243992_100042,TR
3300029390_10,3300029390.a:Ga0243991_1000017,TR
3300029365_23,3300029365.a:Ga0243866_1000012,TR
3300029303_19,3300029303.a:Ga0168703_1000010,TR
3300029130_18,3300029130.a:Ga0168772_100039,TR
3300029126_12,3300029126.a:Ga0168786_100078,TR
3300028580_17,3300028580.a:Ga0268357_100070,TR
3300027979_9,3300027979.a:Ga0209705_10000068,TR
3300027955_2,3300027955.a:Ga0209078_1000033,TR
3300027850_11,3300027850.a:Ga0209591_10002909,TR
3300027818_12,3300027818.a:Ga0209706_10001429,TR
3300027723_3,3300027723.a:Ga0209703_1000591,TR
3300027111_7,3300027111.a:Ga0209281_1000015,TR
3300025738_23,3300025738.a:Ga0209292_1000073,TR
3300025656_14,3300025656.a:Ga0209054_1000468,TR
3300025642_40,3300025642.a:Ga0208648_1000010,TR
3300025384_1,3300025384.a:Ga0208218_1000101,TR
3300025354_2,3300025354.a:Ga0208477_100533,TR
3300025348_3,3300025348.a:Ga0208353_100526,TR
3300024903_3,3300024903.a:Ga0208519_100003,TR
3300024901_4,3300024901.a:Ga0208517_100163,TR
3300022885_5,3300022885.a:Ga0222662_1000001,TR
3300022856_2,3300022856.a:Ga0222671_1000001,TR
3300022842_2,3300022842.a:Ga0222632_1000001,TR
3300021326_32,3300021326.a:Ga0214518_101229,TR
3300021319_14,3300021319.a:Ga0214520_101053,TR
3300021318_27,3300021318.a:Ga0214506_1000673,TR
3300021306_13,3300021306.a:Ga0214508_1000827,TR
3300020596_18,3300020596.a:Ga0163149_10002453,TR
3300020201_34,3300020201.a:Ga0163154_10011008,TR
3300014555_2,3300014555.a:Ga0134422_100010,TR
3300014039_20,3300014039.a:Ga0116646_1000116,TR
3300012829_2,3300012829.a:Ga0160467_100199,TR
3300012824_1,3300012824.a:Ga0160469_100040,TR
3300011847_3,3300011847.a:Ga0122095_100101,TR
3300011823_3,3300011823.a:Ga0122800_100003,TR
3300008620_3,3300008620.a:Ga0111272_100039,TR
3300008404_9,3300008404.a:Ga0115185_101399,TR
3300008350_2,3300008350.a:Ga0115414_100003,TR
3300008154_8,3300008154.a:Ga0114321_1000016,TR
3300008077_11,3300008077.a:Ga0105964_1000077,TR
3300008063_20,3300008063.a:Ga0113867_100254,TR
3300007783_5,3300007783.a:Ga0105777_100022,TR
3300007353_21,3300007353.a:Ga0104758_100148,TR
3300007318_2,3300007318.a:Ga0104925_100052,TR
3300007210_10,3300007210.a:Ga0103359_100122,TR
3300001567_61,3300001567.a:Draft_10012884,TR
3300029947_3,3300029947.a:Ga0116655_100031,TR
3300029893_34,3300029893.a:Ga0246236_1000265,TR
3300029884_4,3300029884.a:Ga0245328_100167,TR
3300029851_15,3300029851.a:Ga0245290_100046,TR
3300029782_26,3300029782.a:Ga0245253_100484,TR
3300029729_5,3300029729.a:Ga0245191_100644,TR
3300029725_15,3300029725.a:Ga0245208_100241,TR
3300029715_17,3300029715.a:Ga0245215_1002467,TR
3300029696_26,3300029696.a:Ga0245263_100122,TR
3300029694_17,3300029694.a:Ga0245247_100134,TR
3300029681_10,3300029681.a:Ga0245167_100020,TR
3300029678_5,3300029678.a:Ga0245195_100208,TR
3300029676_6,3300029676.a:Ga0243825_100069,TR
3300029675_5,3300029675.a:Ga0245254_100293,TR
3300029675_10,3300029675.a:Ga0245254_100122,TR
3300029668_15,3300029668.a:Ga0245235_100427,TR
3300029621_40,3300029621.a:Ga0245126_1000457,TR
3300029528_2,3300029528.a:Ga0244850_100614,TR
3300029516_15,3300029516.a:Ga0244799_100013,TR
3300029494_7,3300029494.a:Ga0244011_1001810,TR
3300029493_6,3300029493.a:Ga0244010_1000057,TR
3300029469_9,3300029469.a:Ga0244168_100017,TR
3300029467_11,3300029467.a:Ga0244104_100258,TR
3300029405_2,3300029405.a:Ga0243959_100143,TR
3300029402_5,3300029402.a:Ga0243962_100170,TR
3300029372_3,3300029372.a:Ga0243963_100042,TR
3300029371_2,3300029371.a:Ga0243958_100195,TR
3300029370_13,3300029370.a:Ga0243957_100787,TR
3300029370_11,3300029370.a:Ga0243957_100137,TR
3300029340_21,3300029340.a:Ga0243727_1000072,TR
3300029340_12,3300029340.a:Ga0243727_1000402,TR
3300029250_21,3300029250.a:Ga0167474_1000019,TR
3300029220_6,3300029220.a:Ga0168707_100216,TR
3300029136_35,3300029136.a:Ga0168747_100408,TR
3300029115_10,3300029115.a:Ga0168848_100077,TR
3300029097_2,3300029097.a:Ga0169217_100686,TR
3300029093_4,3300029093.a:Ga0169226_100422,TR
3300029086_6,3300029086.a:Ga0169215_100982,TR
3300029085_1,3300029085.a:Ga0169201_100008,TR
3300029060_4,3300029060.a:Ga0169602_1000124,TR
3300029029_4,3300029029.a:Ga0169670_100184,TR
3300028986_2,3300028986.a:Ga0169616_100057,TR
3300028985_2,3300028985.a:Ga0169615_10016,TR
3300028959_6,3300028959.a:Ga0169703_100057,TR
3300028581_34,3300028581.a:Ga0247840_10026443,TR
3300028559_19,3300028559.a:Ga0247831_1004555,TR
3300028188_5,3300028188.a:Ga0257124_1001284,TR
3300028177_7,3300028177.a:Ga0257122_1001511,TR
3300028175_9,3300028175.a:Ga0257117_1004190,TR
3300028114_13,3300028114.a:Ga0247835_1002170,TR
3300027848_30,3300027848.a:Ga0209390_10004804,TR
3300027835_133,3300027835.a:Ga0209515_10000214,TR
3300027819_183,3300027819.a:Ga0209514_10005199,TR
3300027819_166,3300027819.a:Ga0209514_10000774,TR
3300027819_137,3300027819.a:Ga0209514_10011287,TR
3300027489_3,3300027489.a:Ga0255095_1004647,TR
3300025784_67,3300025784.a:Ga0209200_1003178,TR
3300025737_42,3300025737.a:Ga0208694_1000421,TR
3300025689_71,3300025689.a:Ga0209407_1022585,TR
3300025631_67,3300025631.a:Ga0209204_1002788,TR
3300025629_47,3300025629.a:Ga0208824_1008081,TR
3300025603_37,3300025603.a:Ga0208414_1000752,TR
3300025601_20,3300025601.a:Ga0208768_1000399,TR
3300025589_20,3300025589.a:Ga0209409_1001582,TR
3300025513_31,3300025513.a:Ga0208413_1004387,TR
3300025502_27,3300025502.a:Ga0208903_1003442,TR
3300025431_5,3300025431.a:Ga0209449_1002373,TR
3300024964_1,3300024964.a:Ga0208514_100057,TR
3300022181_19,3300022181.a:Ga0228535_1000139,TR
3300020179_51,3300020179.a:Ga0194134_10018746,TR
3300019458_16,3300019458.a:Ga0187892_10009080,TR
3300018878_277,3300018878.a:Ga0187910_10005876,TR
3300018878_151,3300018878.a:Ga0187910_10074716,TR
3300014970_3,3300014970.a:Ga0169826_100154,TR
3300014948_7,3300014948.a:Ga0134487_100358,TR
3300014921_2,3300014921.a:Ga0169822_100036,TR
3300014830_6,3300014830.a:Ga0119906_1000638,TR
3300014782_5,3300014782.a:Ga0134389_1000019,TR
3300014563_2,3300014563.a:Ga0134418_1000104,TR
3300014553_5,3300014553.a:Ga0134451_100004,TR
3300014502_70,3300014502.a:Ga0182021_10013738,TR
3300014490_14,3300014490.a:Ga0182010_10002057,TR
3300014204_19,3300014204.a:Ga0172381_10053382,TR
3300014028_8,3300014028.a:Ga0117810_1000001,TR
3300013138_209,3300013138.a:Ga0172371_10000752,TR
3300013137_185,3300013137.a:Ga0172375_10010635,TR
3300013125_107,3300013125.a:Ga0172369_10000548,TR
3300012850_2,3300012850.a:Ga0160434_100059,TR
3300012016_18,3300012016.a:Ga0120387_1003215,TR
3300011977_5,3300011977.a:Ga0120375_1002060,TR
3300010372_14,3300010372.a:Ga0114984_1000174,TR
3300010167_39,3300010167.a:Ga0123353_10000088,TR
3300008722_3,3300008722.a:Ga0113880_1000036,TR
3300008676_4,3300008676.a:Ga0111520_100224,TR
3300008620_9,3300008620.a:Ga0111272_100019,TR
3300008561_10,3300008561.a:Ga0111060_100001,TR
3300008551_23,3300008551.a:Ga0111058_100033,TR
3300008478_10,3300008478.a:Ga0114882_100125,TR
3300008268_19,3300008268.a:Ga0111491_1000105,TR
3300008079_6,3300008079.a:Ga0105956_100053,TR
3300007991_8,3300007991.a:Ga0105643_101481,TR
3300007797_13,3300007797.a:Ga0105663_102362,TR
3300007519_19,3300007519.a:Ga0105055_10013785,TR
3300007305_26,3300007305.a:Ga0104872_101887,TR
3300007298_3,3300007298.a:Ga0104838_100974,TR
3300007098_4,3300007098.a:Ga0102540_100092,TR
3300006568_3,3300006568.a:Ga0100215_100016,TR
3300006523_1,3300006523.a:Ga0101039_100424,TR
3300005460_61,3300005460.a:Ga0073908_1009128,TR
3300029880_19,3300029880.a:Ga0245255_100117,TR
3300029877_12,3300029877.a:Ga0245326_100040,TR
3300029875_20,3300029875.a:Ga0245324_100003,TR
3300029874_14,3300029874.a:Ga0245322_100311,TR
3300029870_10,3300029870.a:Ga0245312_100017,TR
3300029860_15,3300029860.a:Ga0245305_1000281,TR
3300029856_27,3300029856.a:Ga0245296_100438,TR
3300029856_18,3300029856.a:Ga0245296_100015,TR
3300029856_12,3300029856.a:Ga0245296_100007,TR
3300029855_27,3300029855.a:Ga0245295_1000311,TR
3300029855_23,3300029855.a:Ga0245295_1000012,TR
3300029853_14,3300029853.a:Ga0245292_100088,TR
3300029846_16,3300029846.a:Ga0245279_100052,TR
3300029842_12,3300029842.a:Ga0245273_100052,TR
3300029840_12,3300029840.a:Ga0245268_100122,TR
3300029820_20,3300029820.a:Ga0245026_100080,TR
3300029796_29,3300029796.a:Ga0243875_1000291,TR
3300029795_21,3300029795.a:Ga0243742_1000157,TR
3300029791_23,3300029791.a:Ga0243849_1000505,TR
3300029789_21,3300029789.a:Ga0243734_1000096,TR
3300029788_17,3300029788.a:Ga0243743_1000076,TR
3300029784_7,3300029784.a:Ga0243806_1000007,TR
3300029782_12,3300029782.a:Ga0245253_100452,TR
3300029779_18,3300029779.a:Ga0243834_1000016,TR
3300029778_21,3300029778.a:Ga0243887_1000095,TR
3300029777_16,3300029777.a:Ga0243715_1000111,TR
3300029771_11,3300029771.a:Ga0243801_100311,TR
3300029767_17,3300029767.a:Ga0243804_100117,TR
3300029763_10,3300029763.a:Ga0243796_100434,TR
3300029762_11,3300029762.a:Ga0245183_100001,TR
3300029760_8,3300029760.a:Ga0242787_100068,TR
3300029757_7,3300029757.a:Ga0243876_100160,TR
3300029757_6,3300029757.a:Ga0243876_101518,TR
3300029757_10,3300029757.a:Ga0243876_100019,TR
3300029756_11,3300029756.a:Ga0242840_100066,TR
3300029750_8,3300029750.a:Ga0242832_100123,TR
3300029749_39,3300029749.a:Ga0245202_1001793,TR
3300029743_12,3300029743.a:Ga0245246_103376,TR
3300029742_27,3300029742.a:Ga0245239_100261,TR
3300029737_14,3300029737.a:Ga0245199_100005,TR
3300029731_10,3300029731.a:Ga0245178_100258,TR
3300029730_8,3300029730.a:Ga0245159_100088,TR
3300029728_18,3300029728.a:Ga0245197_100087,TR
3300029728_13,3300029728.a:Ga0245197_100024,TR
3300029727_15,3300029727.a:Ga0245198_100020,TR
3300029727_14,3300029727.a:Ga0245198_100012,TR
3300029726_12,3300029726.a:Ga0245201_100033,TR
3300029722_13,3300029722.a:Ga0245188_100243,TR
3300029720_15,3300029720.a:Ga0245229_1000262,TR
3300029719_18,3300029719.a:Ga0245179_1000174,TR
3300029718_23,3300029718.a:Ga0245237_1000006,TR
3300029716_25,3300029716.a:Ga0245260_1000147,TR
3300029713_26,3300029713.a:Ga0245252_100008,TR
3300029712_19,3300029712.a:Ga0245206_100031,TR
3300029712_17,3300029712.a:Ga0245206_100503,TR
3300029711_30,3300029711.a:Ga0245193_100501,TR
3300029711_29,3300029711.a:Ga0245193_100034,TR
3300029710_19,3300029710.a:Ga0245233_100029,TR
3300029710_13,3300029710.a:Ga0245233_100124,TR
3300029708_27,3300029708.a:Ga0245189_100348,TR
3300029707_17,3300029707.a:Ga0245244_100016,TR
3300029704_22,3300029704.a:Ga0245212_100008,TR
3300029704_10,3300029704.a:Ga0245212_100116,TR
3300029702_20,3300029702.a:Ga0245265_100021,TR
3300029700_19,3300029700.a:Ga0245207_100222,TR
3300029684_21,3300029684.a:Ga0245194_100010,TR
3300029684_15,3300029684.a:Ga0245194_100378,TR
3300029682_11,3300029682.a:Ga0242767_100071,TR
3300029672_12,3300029672.a:Ga0243361_100104,TR
3300029653_8,3300029653.a:Ga0245224_100008,TR
3300029650_10,3300029650.a:Ga0245264_100006,TR
3300029634_12,3300029634.a:Ga0242800_100074,TR
3300029623_33,3300029623.a:Ga0245138_1000009,TR
3300029617_7,3300029617.a:Ga0245125_100088,TR
3300029611_23,3300029611.a:Ga0245149_100049,TR
3300029611_14,3300029611.a:Ga0245149_100114,TR
3300029610_36,3300029610.a:Ga0245132_100377,TR
3300029610_20,3300029610.a:Ga0245132_100003,TR
3300029610_16,3300029610.a:Ga0245132_100028,TR
3300029609_20,3300029609.a:Ga0245148_100192,TR
3300029594_30,3300029594.a:Ga0245142_100037,TR
3300029594_15,3300029594.a:Ga0245142_100408,TR
3300029589_35,3300029589.a:Ga0245106_100028,TR
3300029587_24,3300029587.a:Ga0245119_100116,TR
3300029583_9,3300029583.a:Ga0245123_100750,TR
3300029580_17,3300029580.a:Ga0245096_100154,TR
3300029580_13,3300029580.a:Ga0245096_100459,TR
3300029579_27,3300029579.a:Ga0244893_100490,TR
3300029579_22,3300029579.a:Ga0244893_100054,TR
3300029562_14,3300029562.a:Ga0245122_100002,TR
3300029559_19,3300029559.a:Ga0244915_100032,TR
3300029555_15,3300029555.a:Ga0245053_100349,TR
3300029551_16,3300029551.a:Ga0245011_100015,TR
3300029551_10,3300029551.a:Ga0245011_100033,TR
3300029528_9,3300029528.a:Ga0244850_100128,TR
3300029527_9,3300029527.a:Ga0244938_100033,TR
3300029517_18,3300029517.a:Ga0244792_100198,TR
3300029495_16,3300029495.a:Ga0244015_1000121,TR
3300029494_18,3300029494.a:Ga0244011_1000044,TR
3300029494_17,3300029494.a:Ga0244011_1000278,TR
3300029493_28,3300029493.a:Ga0244010_1000008,TR
3300029493_16,3300029493.a:Ga0244010_1000314,TR
3300029492_13,3300029492.a:Ga0244090_100054,TR
3300029489_10,3300029489.a:Ga0244014_1000019,TR
3300029486_13,3300029486.a:Ga0244145_100128,TR
3300029481_13,3300029481.a:Ga0244053_100304,TR
3300029464_5,3300029464.a:Ga0244165_100046,TR
3300029461_6,3300029461.a:Ga0244130_100012,TR
3300029454_10,3300029454.a:Ga0244180_100021,TR
3300029446_11,3300029446.a:Ga0167332_1000131,TR
3300029438_23,3300029438.a:Ga0243733_1000103,TR
3300029437_32,3300029437.a:Ga0242826_1000191,TR
3300029436_21,3300029436.a:Ga0243833_1000024,TR
3300029432_7,3300029432.a:Ga0243805_100005,TR
3300029428_22,3300029428.a:Ga0242788_100252,TR
3300029426_21,3300029426.a:Ga0242789_100063,TR
3300029410_12,3300029410.a:Ga0242843_100055,TR
3300029406_6,3300029406.a:Ga0242805_100041,TR
3300029402_6,3300029402.a:Ga0243962_100063,TR
3300029396_11,3300029396.a:Ga0242782_100111,TR
3300029395_9,3300029395.a:Ga0243972_100190,TR
3300029395_12,3300029395.a:Ga0243972_100019,TR
3300029393_21,3300029393.a:Ga0243986_1000356,TR
3300029384_6,3300029384.a:Ga0243983_1000029,TR
3300029368_11,3300029368.a:Ga0243967_100059,TR
3300029367_6,3300029367.a:Ga0243974_100005,TR
3300029366_6,3300029366.a:Ga0243930_100016,TR
3300029363_7,3300029363.a:Ga0243878_100164,TR
3300029360_5,3300029360.a:Ga0243814_1000022,TR
3300029348_11,3300029348.a:Ga0243800_100169,TR
3300029341_21,3300029341.a:Ga0243736_1000102,TR
3300029336_6,3300029336.a:Ga0243752_100092,TR
3300029336_30,3300029336.a:Ga0243752_100151,TR
3300029330_20,3300029330.a:Ga0242808_100080,TR
3300029329_9,3300029329.a:Ga0242807_100045,TR
3300029328_10,3300029328.a:Ga0242837_100209,TR
3300029323_6,3300029323.a:Ga0243332_100046,TR
3300029320_9,3300029320.a:Ga0242818_100062,TR
3300029313_13,3300029313.a:Ga0242781_100117,TR
3300029295_12,3300029295.a:Ga0134373_100076,TR
3300029249_12,3300029249.a:Ga0168690_1000017,TR
3300029248_22,3300029248.a:Ga0168696_1000249,TR
3300029238_9,3300029238.a:Ga0168766_101453,TR
3300029230_22,3300029230.a:Ga0168685_100346,TR
3300029207_6,3300029207.a:Ga0168683_100072,TR
3300029191_7,3300029191.a:Ga0168694_100303,TR
3300029138_5,3300029138.a:Ga0168728_100002,TR
3300029136_15,3300029136.a:Ga0168747_100120,TR
3300029132_11,3300029132.a:Ga0168796_100084,TR
3300029122_23,3300029122.a:Ga0168799_1000508,TR
3300029099_6,3300029099.a:Ga0169186_100001,TR
3300029095_13,3300029095.a:Ga0169229_100149,TR
3300029087_7,3300029087.a:Ga0169172_100048,TR
3300029079_3,3300029079.a:Ga0169227_100004,TR
3300029036_7,3300029036.a:Ga0169607_1000005,TR
3300029035_3,3300029035.a:Ga0169586_100079,TR
3300028958_2,3300028958.a:Ga0169756_100063,TR
3300028640_15,3300028640.a:Ga0302237_1000109,TR
3300028630_19,3300028630.a:Ga0302247_1000054,TR
3300028628_17,3300028628.a:Ga0302249_1000008,TR
3300028593_33,3300028593.a:Ga0255347_1004275,TR
3300028593_31,3300028593.a:Ga0255347_1000207,TR
3300028581_43,3300028581.a:Ga0247840_10018926,TR
3300028576_27,3300028576.a:Ga0255340_1000165,TR
3300028571_14,3300028571.a:Ga0247844_1001262,TR
3300028570_30,3300028570.a:Ga0255341_1000183,TR
3300028569_23,3300028569.a:Ga0247843_1007284,TR
3300028568_31,3300028568.a:Ga0255345_1000175,TR
3300028567_30,3300028567.a:Ga0255342_1000190,TR
3300028564_24,3300028564.a:Ga0255344_1000163,TR
3300028561_28,3300028561.a:Ga0255343_1001822,TR
3300028559_32,3300028559.a:Ga0247831_1001919,TR
3300028195_12,3300028195.a:Ga0257125_1001168,TR
3300027977_42,3300027977.a:Ga0247834_1001711,TR
3300027864_25,3300027864.a:Ga0209755_10000177,TR
3300027823_4,3300027823.a:Ga0209490_10044014,TR
3300027819_142,3300027819.a:Ga0209514_10000087,TR
3300027786_16,3300027786.a:Ga0209812_10000216,TR
3300027607_26,3300027607.a:Ga0207422_1001433,TR
3300027566_9,3300027566.a:Ga0209639_1000356,TR
3300027323_1,3300027323.a:Ga0209426_1000443,TR
3300027055_1,3300027055.a:Ga0209516_1000007,TR
3300027019_5,3300027019.a:Ga0207857_1000040,TR
3300026953_1,3300026953.a:Ga0207835_1000006,TR
3300026947_2,3300026947.a:Ga0207853_1000013,TR
3300026932_1,3300026932.a:Ga0207836_1000143,TR
3300026272_8,3300026272.a:Ga0209913_1001942,TR
3300026197_8,3300026197.a:Ga0209925_1013308,TR
3300025949_40,3300025949.a:Ga0207667_10000002,TR
3300025902_3,3300025902.a:Ga0209202_1001236,TR
3300025882_3,3300025882.a:Ga0209097_10000065,TR
3300025877_12,3300025877.a:Ga0208460_10000561,TR
3300025855_3,3300025855.a:Ga0209717_1001212,TR
3300025740_19,3300025740.a:Ga0208940_1000091,TR
3300025737_22,3300025737.a:Ga0208694_1000124,TR
3300025730_20,3300025730.a:Ga0209606_1011544,TR
3300025724_18,3300025724.a:Ga0208196_1000110,TR
3300025720_17,3300025720.a:Ga0208197_1000097,TR
3300025715_3,3300025715.a:Ga0209310_1000313,TR
3300025713_14,3300025713.a:Ga0208195_1001743,TR
3300025689_18,3300025689.a:Ga0209407_1000114,TR
3300025686_15,3300025686.a:Ga0209506_1000111,TR
3300025677_33,3300025677.a:Ga0209719_1001029,TR
3300025677_20,3300025677.a:Ga0209719_1000579,TR
3300025643_13,3300025643.a:Ga0209151_1003883,TR
3300025616_3,3300025616.a:Ga0208613_1000070,TR
3300025613_10,3300025613.a:Ga0208461_1000052,TR
3300025600_8,3300025600.a:Ga0209125_1000221,TR
3300025596_10,3300025596.a:Ga0209662_1003324,TR
3300025575_7,3300025575.a:Ga0209430_1000156,TR
3300025552_2,3300025552.a:Ga0210142_1000084,TR
3300025536_5,3300025536.a:Ga0207952_1000693,TR
3300025436_4,3300025436.a:Ga0208103_1000128,TR
